Image Path,Suggested Alt Text (UAE Optimized)
/images/P1_result.webp,"AI video for real estate UAE - 7-Minute AgentClone course thumbnail showing Dubai agent"
/images/thumbnail-vsl.webp,"Dubai real estate agent creating AI talking video in 7 minutes"
/videos/Hero-VSL.mp4,"Video tutorial: How UAE real estate agents create AI videos for lead generation"
/favicon-96x96.png,"AI FastScale logo - AI video platform for UAE real estate agents"
/favicon.svg,"AI FastScale brand icon"
/apple-touch-icon.png,"AI FastScale app icon for Dubai real estate AI videos"
/images/agent-photo-1.webp,"Dubai real estate agent using AI video to generate property leads"
/images/agent-photo-2.webp,"Abu Dhabi agent creating talking AI video for luxury villa listing"
/images/agent-photo-3.webp,"Sharjah real estate agent marketing affordable properties with AI videos"
/images/property-dubai-marina.webp,"Dubai Marina waterfront property - AI video marketing for real estate agents"
/images/property-downtown.webp,"Downtown Dubai luxury apartment - AI talking video for Bayut listing"
/images/property-jbr.webp,"JBR beach property Dubai - AI video for PropertyFinder UAE"
/images/testimonial-1.webp,"Sarah Mitchell Dubai agent testimonial - Generated 23 leads with AI videos"
/images/testimonial-2.webp,"Ahmed Al-Mansouri real estate agent UAE - 100+ leads monthly with AI"
/images/testimonial-3.webp,"UAE real estate agent success story using 7-Minute AgentClone"
/images/before-after-listing.webp,"Real estate listing before and after adding AI video - 3X more views UAE"
/images/bayut-screenshot.webp,"AI video integrated in Bayut property listing Dubai"
/images/propertyfinder-screenshot.webp,"PropertyFinder UAE listing with AI talking video"
/images/instagram-reel-example.webp,"Instagram Reel AI video for Dubai real estate lead generation"
/images/ai-video-demo.webp,"Step-by-step demo: Creating AI talking video for real estate in 7 minutes"
/images/dubai-skyline.webp,"Dubai skyline - Real estate market for AI video marketing UAE"
/images/abu-dhabi-corniche.webp,"Abu Dhabi corniche waterfront - Luxury real estate AI video marketing"
/images/sharjah-al-majaz.webp,"Sharjah Al Majaz family properties - AI video for affordable housing UAE"
/images/trust-badge-stripe.svg,"Secure Stripe payment for AI FastScale 7-Minute AgentClone"
/images/trust-badge-guarantee.svg,"30-day money-back guarantee - AI video course for real estate agents"
/images/trust-badge-students.svg,"500+ UAE real estate agents using AI videos for lead generation"
/images/press-gulf-news.svg,"As featured in Gulf News - AI FastScale PropTech Dubai"
/images/press-arabian-business.svg,"Arabian Business feature - AI video platform for UAE real estate"
/images/press-khaleej-times.svg,"Khaleej Times coverage - 7-Minute AgentClone for Dubai agents"
/images/feature-icon-video.svg,"AI talking video creation icon - 7-minute real estate videos"
/images/feature-icon-leads.svg,"Lead generation icon - 100+ monthly leads with AI videos UAE"
/images/feature-icon-arabic.svg,"Arabic language support - AI videos for UAE Arabic-speaking buyers"
/images/feature-icon-unlimited.svg,"Unlimited AI videos - One-time $37 payment for real estate agents"
/images/step-1-upload.webp,"Step 1: Upload photo for AI talking video - No filming required"
/images/step-2-script.webp,"Step 2: Paste property script - AI video for Dubai real estate"
/images/step-3-generate.webp,"Step 3: AI generates talking video in 2 minutes - UAE real estate marketing"
/images/step-4-download.webp,"Step 4: Download and post AI video on Bayut PropertyFinder Instagram"
/images/comparison-traditional-vs-ai.webp,"Cost comparison: Traditional video production vs AI videos for UAE agents"
/images/roi-chart.webp,"ROI graph showing 3X more leads with AI videos - Dubai real estate agents"
/images/mobile-app-screenshot.webp,"Mobile-friendly AI video creation for real estate agents on the go UAE"
/images/desktop-interface.webp,"Desktop interface 7-Minute AgentClone - Create AI videos for properties"
/images/video-quality-hd.webp,"HD quality AI talking video example - Professional real estate marketing UAE"
/images/founder-headshot.webp,"Mohamed Al-Rashid founder AI FastScale - Former Dubai real estate agent"
/images/team-photo.webp,"AI FastScale team Dubai - PropTech experts for real estate video marketing"
/images/office-dubai.webp,"AI FastScale office Dubai UAE - Real estate AI video platform"
/images/certificate-ssl.svg,"SSL security certificate - Safe payment for AI video course"
/images/badge-4.9-rating.svg,"4.9 star rating - 500 reviews from UAE real estate agents"
/images/icon-checkmark-green.svg,"Verified checkmark - Trusted AI video platform for real estate UAE"
/images/background-gradient.webp,"Gradient background - AI FastScale UAE real estate video platform"
/images/pattern-dots.svg,"Decorative pattern - Modern design for PropTech website"
/images/logo-full.svg,"AI FastScale full logo - 7-Minute AgentClone for UAE real estate agents"
/images/logo-icon.svg,"AI FastScale icon logo - AI video marketing for property agents"
